,playerId,playerName,teamId,minutes,touches,teamName
0,1002039,Aaron Hickey,9857,2834,1729.0,Bologna
1,1003368,Junior Messias,8564,1429,878.0,Milan
2,1020963,Nicolo Rovella,10233,1466,1210.0,Genoa
3,1021834,Jakub Kiwior,9881,1963,974.0,Spezia
4,1027472,Wilfried Singo,9804,2626,1893.0,Torino
5,1036182,Ivan Ilic,9876,2535,1764.0,Hellas Verona
6,1039220,Kevin Agudelo,9881,1235,675.0,Spezia
7,1047570,Matteo Lovato,8529,1242,762.0,Cagliari
8,1052898,Iyenoma Udogie,8600,2485,1347.0,Udinese
9,1055141,Manolo Portanova,10233,1330,661.0,Genoa
10,1078846,Andrea Cambiaso,10233,1791,1210.0,Genoa
11,1079485, Beto,8600,2175,840.0,Udinese
12,1080669,Nadir Zortea,6480,1404,718.0,Salernitana
13,108381,Milan Djuric,6480,2173,939.0,Salernitana
14,1085401,David Zima,9804,1310,774.0,Torino
15,109060,Sergio Romero,7881,1440,705.0,Venezia
16,1093285,Fabiano Parisi,8534,1474,1120.0,Empoli
17,109338,Marco Davide Faraoni,9876,2580,1792.0,Hellas Verona
18,110148,Marko Arnautovic,9857,2703,1305.0,Bologna
19,1116749,Mattia Viti,8534,1488,905.0,Empoli
20,111739,Simone Romagnoli,8534,1498,997.0,Empoli
21,1123969,Andrea Carboni,8529,2216,1380.0,Cagliari
22,1131217,Pierre Kalulu,8564,1938,1425.0,Milan
23,115591,Ricardo Rodriguez,9804,2470,1696.0,Torino
24,116555,Duvan Zapata,8524,1732,911.0,Atalanta
25,11685,Antonio Candreva,9882,3130,2386.0,Sampdoria
26,1173250,Arthur Theate,9857,2427,1795.0,Bologna
27,119014,Darko Lazovic,9876,2780,1880.0,Hellas Verona
28,1208969,Kristjan Asllani,8534,1346,938.0,Empoli
29,127374,Rafael Toloi,8524,1441,1153.0,Atalanta
30,127460,Giacomo Bonaventura,8535,2278,1518.0,Fiorentina
31,141699,Milan Badelj,10233,2850,2036.0,Genoa
32,150250,Pedro Rodriguez,8543,2042,1268.0,Lazio
33,150330,José Maria Callejon,8535,1300,737.0,Fiorentina
34,15403,Edin Dzeko,8636,2475,1223.0,Inter
35,154246,Joel Chukwuma Obi,6480,1146,535.0,Salernitana
36,154249,Mattia Destro,10233,1753,635.0,Genoa
37,155066,Juan Cuadrado,9885,2494,2298.0,Juventus
38,155249,Francesco Di Tacchio,6480,1256,726.0,Salernitana
39,155254,Francesco Caputo,9882,2799,856.0,Sampdoria
40,15732,Ivan Radovanovic,6480,1055,625.0,Salernitana
41,157865,Alex Sandro,9885,1773,1361.0,Juventus
42,161328,Stephan El Shaarawy,8686,1046,774.0,Roma
43,161660,Ciro Immobile,8543,2716,1300.0,Lazio
44,163255,Luigi Sepe,6480,1394,647.0,Salernitana
45,163670,Ivan Perisic,8636,2842,1881.0,Inter
46,165823,Chris Smalling,8686,2087,1300.0,Roma
47,165952,Marco Silvestri,8600,3150,1084.0,Udinese
48,169718,Wojciech Szczesny,9885,2970,1145.0,Juventus
49,172899,Manolo Gabbiadini,9882,1147,504.0,Sampdoria
50,177837,Vlad Chiriches,7943,2301,1603.0,Sassuolo
51,178732,Lukasz Skorupski,9857,3240,1466.0,Bologna
52,178758,Bram Nuytinck,8600,2034,1200.0,Udinese
53,178781,Tolgay Arslan,8600,1673,941.0,Udinese
54,181911,Vid Belec,6480,1936,700.0,Salernitana
55,181995,Roberto Soriano,9857,2637,1660.0,Bologna
56,185625,José Luis Palomino,8524,2672,2089.0,Atalanta
57,188555,Stefan de Vrij,8636,2412,1778.0,Inter
58,189306,Antonio Junior Vacca,7881,1070,859.0,Venezia
59,190562,Luca Ceppitelli,8529,1445,980.0,Cagliari
60,193441,Lorenzo Insigne,9875,2309,1902.0,Napoli
61,196484,Luis Muriel,8524,1540,1148.0,Atalanta
62,197352,Juan Jesus,9875,1273,957.0,Napoli
63,198099,Bartosz Bereszynski,9882,2956,2053.0,Sampdoria
64,198559,Marten de Roon,8524,2547,2003.0,Atalanta
65,198566,Luis Alberto,8543,2361,2270.0,Lazio
66,201704,Remo Freuler,8524,2378,2124.0,Atalanta
67,203739,Joao Pedro,8529,3325,1249.0,Cagliari
68,206508,Marcelo Brozovic,8636,2951,3013.0,Inter
69,208077, Danilo,9885,1895,1696.0,Juventus
70,210278,Roberto Pereyra,8600,1799,1138.0,Udinese
71,210428,Kalidou Koulibaly,9875,2406,1966.0,Napoli
72,212645,Riccardo Saponara,8535,1286,776.0,Fiorentina
73,213501,Álvaro Morata,9885,2312,1094.0,Juventus
74,230190,Felipe Anderson,8543,2899,2017.0,Lazio
75,231176,Leonardo Pavoletti,8529,1506,719.0,Cagliari
76,239350,Cristiano Biraghi,8535,3166,2907.0,Fiorentina
77,24235,Leonardo Bonucci,9885,2004,1543.0,Juventus
78,244811,Davide Zappacosta,8524,2357,1837.0,Atalanta
79,244816,Federico Ceccherini,9876,2368,1535.0,Hellas Verona
80,244966,Stefano Sturaro,10233,1775,896.0,Genoa
81,251925,Gerard Deulofeu,8600,2626,1574.0,Udinese
82,252650,Gianluca Caprari,9876,2753,1862.0,Hellas Verona
83,253088,Nikola Maksimovic,10233,1116,652.0,Genoa
84,25587,Lorenzo De Silvestri,9857,2298,1650.0,Bologna
85,260964,Berat Djimsiti,8524,2254,1689.0,Atalanta
86,261313,Jordan Veretout,8686,2321,1674.0,Roma
87,264842,Alessandro Florenzi,8564,1151,957.0,Milan
88,265924,Gregoire Defrel,7943,1345,624.0,Sassuolo
