,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2549,2022,2022-08-07,1843,French Ligue 1,Marseille,Reims,69.46,57.78,0.5842,0.1703,0.2454,1.69,0.78,42.0,28.4,4.0,1.0,2.67,0.79,1.19,1.39,3.55,1.05
2605,2022,2022-08-12,1845,German Bundesliga,SC Freiburg,Borussia Dortmund,69.9,80.83,0.307,0.4461,0.2469,1.4,1.73,50.3,64.1,1.0,3.0,0.93,0.82,1.6,1.54,1.05,2.69
2608,2022,2022-08-12,1869,Spanish Primera Division,Osasuna,Sevilla FC,63.69,71.45,0.3443,0.359,0.2968,1.17,1.2,26.0,38.3,2.0,1.0,1.44,1.09,0.7,1.12,2.1,1.05
2611,2022,2022-08-12,1843,French Ligue 1,Nantes,Lille,59.32,68.76,0.3346,0.3938,0.2716,1.22,1.35,25.5,42.2,1.0,1.0,1.61,2.96,0.53,2.58,1.05,1.05
2628,2022,2022-08-13,2411,Barclays Premier League,Aston Villa,Everton,73.64,63.68,0.5392,0.2176,0.2431,1.66,0.96,25.3,30.9,2.0,1.0,2.38,1.54,1.96,1.06,1.71,1.05
2636,2022,2022-08-13,1845,German Bundesliga,TSG Hoffenheim,VfL Bochum,65.58,60.13,0.5063,0.2402,0.2535,1.7,1.1,26.5,35.5,3.0,2.0,2.42,1.6,2.07,1.38,3.15,2.1
2637,2022,2022-08-13,1845,German Bundesliga,Bayer Leverkusen,FC Augsburg,77.6,58.91,0.6722,0.1223,0.2055,2.08,0.75,53.5,34.9,1.0,2.0,2.99,0.7,2.89,0.7,1.05,2.1
2638,2022,2022-08-13,1845,German Bundesliga,Werder Bremen,VfB Stuttgart,60.79,64.83,0.4017,0.3134,0.2849,1.33,1.14,34.1,23.6,2.0,2.0,0.72,1.32,1.01,0.88,2.1,2.1
2639,2022,2022-08-13,1845,German Bundesliga,RB Leipzig,FC Cologne,81.07,68.9,0.6149,0.1625,0.2226,1.99,0.91,64.4,43.6,2.0,2.0,1.24,1.68,0.85,1.14,2.1,1.89
2640,2022,2022-08-13,1845,German Bundesliga,Hertha Berlin,Eintracht Frankfurt,58.88,66.78,0.3697,0.3455,0.2848,1.27,1.22,37.7,25.2,1.0,1.0,2.06,1.36,1.54,1.32,1.05,1.05
2652,2022,2022-08-13,2411,Barclays Premier League,Brighton and Hove Albion,Newcastle,74.21,70.26,0.4888,0.2519,0.2593,1.49,0.99,33.6,23.3,0.0,0.0,1.6,0.16,1.68,0.7,0.0,0.0
2658,2022,2022-08-13,2411,Barclays Premier League,Manchester City,AFC Bournemouth,92.69,58.63,0.8742,0.0294,0.0964,2.82,0.37,61.0,34.2,4.0,0.0,1.76,0.18,2.27,0.28,3.99,0.0
2665,2022,2022-08-13,2411,Barclays Premier League,Wolverhampton,Fulham,68.05,59.97,0.5084,0.2329,0.2587,1.51,0.93,32.0,40.7,0.0,0.0,1.13,1.22,0.51,0.54,0.0,0.0
2670,2022,2022-08-13,2411,Barclays Premier League,Arsenal,Leicester City,79.19,70.86,0.5653,0.2079,0.2268,1.83,1.02,53.9,26.3,4.0,2.0,2.89,0.76,2.11,0.35,4.07,2.1
2681,2022,2022-08-13,2411,Barclays Premier League,Southampton,Leeds United,61.1,61.68,0.4374,0.3176,0.245,1.57,1.31,39.9,34.3,2.0,2.0,1.37,1.98,1.18,1.24,2.1,2.1
2684,2022,2022-08-13,1869,Spanish Primera Division,Celta Vigo,Espanyol,69.06,59.72,0.5358,0.1994,0.2648,1.62,0.88,32.6,33.5,2.0,2.0,0.4,1.12,1.05,0.47,2.1,2.1
2686,2022,2022-08-13,1843,French Ligue 1,AS Monaco,Stade Rennes,73.63,69.94,0.5085,0.2549,0.2366,1.81,1.22,63.7,50.4,1.0,1.0,2.28,2.37,1.46,2.26,1.05,0.84
2695,2022,2022-08-13,1845,German Bundesliga,Schalke 04,Borussia Monchengladbach,58.21,70.65,0.2974,0.44,0.2626,1.24,1.56,35.0,47.5,2.0,2.0,1.72,1.63,1.33,1.5,2.1,2.1
2696,2022,2022-08-13,2411,Barclays Premier League,Brentford,Manchester United,69.12,74.6,0.3597,0.3904,0.2499,1.38,1.45,19.1,30.6,4.0,0.0,1.52,1.28,1.03,2.24,4.2,0.0
2697,2022,2022-08-13,1854,Italy Serie A,Sampdoria,Atalanta,52.95,73.01,0.2101,0.5546,0.2353,1.05,1.85,27.1,51.4,0.0,2.0,0.56,2.01,1.4,1.21,0.0,1.58
2698,2022,2022-08-13,1854,Italy Serie A,AC Milan,Udinese,78.31,57.94,0.6751,0.1206,0.2043,2.04,0.72,58.4,24.5,4.0,2.0,2.53,0.48,0.99,1.3,4.2,2.1
2701,2022,2022-08-13,1869,Spanish Primera Division,Real Valladolid,Villarreal,59.8,77.14,0.2456,0.5033,0.251,1.16,1.76,34.5,50.8,0.0,3.0,0.91,1.6,0.78,1.67,0.0,2.35
2724,2022,2022-08-13,1854,Italy Serie A,Lecce,Internazionale,50.41,82.17,0.1144,0.6995,0.186,0.78,2.25,35.4,65.8,1.0,2.0,0.64,2.43,0.7,2.38,1.05,2.1
2726,2022,2022-08-13,1854,Italy Serie A,Monza,Torino,52.84,62.83,0.3254,0.3833,0.2913,1.1,1.22,32.8,24.8,1.0,2.0,1.15,2.29,0.84,0.79,1.05,2.1
2729,2022,2022-08-13,1869,Spanish Primera Division,Barcelona,Rayo Vallecano,84.44,63.56,0.7269,0.0906,0.1825,2.26,0.65,53.7,23.5,0.0,0.0,1.47,0.81,2.46,0.64,0.0,0.0
2730,2022,2022-08-13,1843,French Ligue 1,Paris Saint-Germain,Montpellier,89.62,52.69,0.8784,0.0333,0.0882,3.19,0.52,56.4,38.7,5.0,2.0,3.57,1.05,3.31,0.18,4.81,2.1
2780,2022,2022-08-14,1843,French Ligue 1,Auxerre,Angers,51.5,56.26,0.4069,0.316,0.2771,1.33,1.14,42.9,36.7,2.0,2.0,1.0,1.94,0.51,1.37,2.1,1.89
2781,2022,2022-08-14,1843,French Ligue 1,Reims,Clermont Foot,57.25,51.13,0.5006,0.2341,0.2654,1.52,0.95,36.0,41.1,2.0,4.0,2.46,1.51,0.93,1.21,2.1,3.22
2783,2022,2022-08-14,1843,French Ligue 1,Troyes,Toulouse,54.65,52.97,0.4636,0.2676,0.2688,1.46,1.04,41.0,38.2,0.0,3.0,0.95,1.69,0.65,1.58,0.0,2.76
2786,2022,2022-08-14,1843,French Ligue 1,AC Ajaccio,Lens,52.21,65.5,0.3188,0.4164,0.2649,1.23,1.44,39.7,31.9,0.0,0.0,0.77,1.1,0.84,2.01,0.0,0.0
2788,2022,2022-08-14,2411,Barclays Premier League,Nottingham Forest,West Ham United,55.56,70.06,0.2976,0.437,0.2654,1.1,1.39,43.4,22.8,1.0,0.0,2.1,2.26,1.12,1.59,1.05,0.0
2790,2022,2022-08-14,1845,German Bundesliga,Mainz,1. FC Union Berlin,69.47,70.66,0.4289,0.2892,0.2819,1.39,1.09,41.9,45.1,0.0,0.0,0.56,0.36,1.03,0.96,0.0,0.0
2805,2022,2022-08-14,1843,French Ligue 1,Nice,Strasbourg,64.39,66.57,0.4155,0.3129,0.2716,1.38,1.16,27.8,34.3,1.0,1.0,1.6,1.76,0.72,1.5,1.05,1.05
2806,2022,2022-08-14,2411,Barclays Premier League,Chelsea,Tottenham Hotspur,86.03,81.93,0.4919,0.2694,0.2387,1.69,1.19,64.6,68.0,2.0,2.0,1.85,1.8,1.8,0.9,2.1,2.1
2809,2022,2022-08-14,1869,Spanish Primera Division,Cadiz,Real Sociedad,62.62,74.77,0.2948,0.4245,0.2808,1.14,1.42,27.6,47.5,0.0,1.0,0.27,2.09,0.79,1.75,0.0,1.05
2810,2022,2022-08-14,1845,German Bundesliga,Bayern Munich,VfL Wolfsburg,92.47,67.09,0.8263,0.0551,0.1187,2.97,0.67,56.4,28.1,2.0,0.0,1.47,0.54,2.06,0.8,2.1,0.0
2818,2022,2022-08-14,1854,Italy Serie A,Fiorentina,Cremonese,67.61,49.25,0.6184,0.145,0.2365,1.76,0.71,41.8,30.7,3.0,2.0,2.14,1.67,3.01,0.79,2.94,2.1
2820,2022,2022-08-14,1854,Italy Serie A,Lazio,Bologna,69.72,56.11,0.5987,0.1771,0.2242,1.94,0.95,48.0,21.0,2.0,1.0,0.83,1.59,0.98,0.58,2.1,0.84
2824,2022,2022-08-14,1869,Spanish Primera Division,Valencia,Girona FC,68.04,58.35,0.5299,0.2044,0.2657,1.61,0.9,28.5,37.3,1.0,0.0,1.68,0.15,1.14,0.96,1.05,0.0
2830,2022,2022-08-14,1854,Italy Serie A,Salernitana,AS Roma,46.63,72.87,0.1777,0.5828,0.2394,0.86,1.77,39.5,50.8,0.0,1.0,0.63,3.2,1.09,1.66,0.0,1.05
2833,2022,2022-08-14,1843,French Ligue 1,Brest,Marseille,53.78,69.78,0.2841,0.4661,0.2498,1.23,1.64,37.2,45.2,1.0,1.0,1.61,0.96,1.49,0.64,1.05,1.05
2834,2022,2022-08-14,1854,Italy Serie A,Spezia,Empoli,48.17,49.65,0.4084,0.3288,0.2629,1.47,1.29,45.1,39.7,1.0,0.0,0.77,0.92,0.81,1.32,1.05,0.0
2843,2022,2022-08-14,1869,Spanish Primera Division,Almeria,Real Madrid,60.41,86.19,0.143,0.6651,0.1918,1.02,2.39,30.6,68.8,1.0,2.0,0.74,3.15,0.61,2.55,1.05,2.1
2858,2022,2022-08-15,1869,Spanish Primera Division,Athletic Bilbao,Mallorca,72.08,57.58,0.5902,0.1646,0.2452,1.78,0.82,34.1,35.4,0.0,0.0,1.79,0.37,1.76,0.31,0.0,0.0
2860,2022,2022-08-15,1854,Italy Serie A,Verona,Napoli,61.45,75.26,0.255,0.4954,0.2496,1.14,1.69,27.4,58.5,2.0,5.0,1.12,2.9,0.66,2.65,2.1,5.04
2866,2022,2022-08-15,1869,Spanish Primera Division,Getafe,Atletico Madrid,65.51,80.68,0.2312,0.4817,0.2871,0.9,1.43,25.2,62.4,0.0,3.0,1.2,1.35,1.03,1.0,0.0,3.04
2868,2022,2022-08-15,1854,Italy Serie A,Juventus,Sassuolo,69.94,60.3,0.5443,0.2274,0.2282,1.94,1.18,47.8,28.6,3.0,0.0,2.11,1.35,0.64,1.29,3.15,0.0
2870,2022,2022-08-15,2411,Barclays Premier League,Liverpool,Crystal Palace,89.69,70.58,0.7359,0.0925,0.1716,2.22,0.64,50.6,21.4,1.0,1.0,2.58,1.48,3.1,0.58,1.05,1.05
2872,2022,2022-08-15,1869,Spanish Primera Division,Real Betis,Elche,70.75,59.59,0.5672,0.1811,0.2517,1.73,0.86,37.6,31.6,3.0,0.0,3.77,0.39,1.26,0.37,2.52,0.0
2948,2022,2022-08-19,1869,Spanish Primera Division,Espanyol,Rayo Vallecano,60.66,64.26,0.4134,0.297,0.2895,1.34,1.09,35.9,24.5,0.0,2.0,1.04,1.67,1.22,0.69,0.0,2.1
2952,2022,2022-08-19,1845,German Bundesliga,Borussia Monchengladbach,Hertha Berlin,70.14,59.16,0.5874,0.1808,0.2318,1.91,0.96,44.7,34.2,1.0,0.0,2.21,0.95,1.48,1.06,1.05,0.0
2955,2022,2022-08-19,1843,French Ligue 1,Lyon,Troyes,71.45,52.34,0.6677,0.133,0.1993,2.11,0.82,47.9,39.2,4.0,1.0,3.64,0.94,1.76,0.87,4.07,1.05
2959,2022,2022-08-19,1869,Spanish Primera Division,Sevilla FC,Real Valladolid,71.01,59.0,0.5523,0.1854,0.2623,1.64,0.83,26.7,36.7,1.0,1.0,2.08,0.49,1.88,0.29,1.05,1.05
2972,2022,2022-08-20,2411,Barclays Premier League,Tottenham Hotspur,Wolverhampton,82.05,67.73,0.6513,0.1446,0.2041,2.0,0.82,52.8,25.7,1.0,0.0,1.91,0.8,1.61,1.21,1.05,0.0
2979,2022,2022-08-20,1845,German Bundesliga,FC Augsburg,Mainz,59.17,69.44,0.3359,0.3832,0.2809,1.22,1.33,32.4,39.2,1.0,2.0,0.36,2.05,0.43,1.02,1.05,2.1
2980,2022,2022-08-20,1845,German Bundesliga,Borussia Dortmund,Werder Bremen,81.01,60.34,0.7103,0.1003,0.1893,2.19,0.68,56.1,33.2,2.0,3.0,0.55,1.19,0.8,1.8,1.93,3.15
