,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
3211,2022,2022-08-22,1869,Spanish Primera Division,Girona FC,Getafe,58.18,64.89,0.3838,0.3076,0.3085,1.18,1.02,39.7,32.1,3.0,1.0,1.48,0.79,1.44,0.44,3.15,1.05
3239,2022,2022-08-26,1854,Italy Serie A,Monza,Udinese,50.63,57.58,0.3609,0.3674,0.2717,1.31,1.32,40.5,22.5,1.0,2.0,1.04,2.27,1.18,2.02,1.05,2.1
3242,2022,2022-08-26,1869,Spanish Primera Division,Girona FC,Celta Vigo,59.52,67.79,0.3658,0.3494,0.2848,1.29,1.25,34.9,22.0,0.0,1.0,0.69,0.73,1.17,0.8,0.0,1.05
3246,2022,2022-08-26,1845,German Bundesliga,SC Freiburg,VfL Bochum,69.72,58.01,0.5701,0.1899,0.24,1.83,0.95,38.7,40.2,1.0,0.0,5.78,1.13,1.73,1.9,1.05,0.0
3248,2022,2022-08-26,1854,Italy Serie A,Lazio,Internazionale,69.23,82.34,0.2638,0.4998,0.2363,1.28,1.84,55.8,67.3,3.0,1.0,1.04,1.88,1.14,2.48,2.74,1.05
3251,2022,2022-08-26,1843,French Ligue 1,AC Ajaccio,Lille,52.79,67.85,0.2933,0.4407,0.266,1.14,1.46,39.4,39.8,1.0,3.0,0.64,1.89,0.86,0.73,1.05,3.15
3254,2022,2022-08-26,1869,Spanish Primera Division,Real Betis,Osasuna,72.41,65.55,0.5371,0.2001,0.2627,1.64,0.89,47.3,27.6,1.0,0.0,0.43,0.92,0.83,1.31,1.05,0.0
3270,2022,2022-08-27,2411,Barclays Premier League,Southampton,Manchester United,62.32,74.01,0.3121,0.4513,0.2366,1.36,1.68,29.7,28.4,0.0,1.0,1.59,2.33,2.18,1.42,0.0,1.05
3276,2022,2022-08-27,1845,German Bundesliga,RB Leipzig,VfL Wolfsburg,80.05,67.92,0.6255,0.1495,0.225,1.93,0.82,65.9,31.0,2.0,0.0,3.63,0.63,1.47,0.94,1.58,0.0
3277,2022,2022-08-27,1845,German Bundesliga,Schalke 04,1. FC Union Berlin,58.47,71.1,0.3077,0.3957,0.2966,1.06,1.24,38.9,47.7,1.0,6.0,1.89,0.95,1.79,1.33,1.05,5.34
3278,2022,2022-08-27,1845,German Bundesliga,TSG Hoffenheim,FC Augsburg,67.59,57.96,0.5619,0.2026,0.2355,1.89,1.04,37.0,35.9,1.0,0.0,1.93,0.59,1.48,1.02,1.05,0.0
3279,2022,2022-08-27,1845,German Bundesliga,Hertha Berlin,Borussia Dortmund,59.23,78.59,0.2227,0.536,0.2413,1.1,1.84,39.9,60.9,0.0,1.0,0.5,2.92,0.95,2.15,0.0,1.05
3280,2022,2022-08-27,1845,German Bundesliga,Mainz,Bayer Leverkusen,70.65,75.45,0.3869,0.3413,0.2718,1.4,1.3,53.0,47.7,0.0,3.0,1.73,1.26,1.12,0.86,0.0,3.15
3283,2022,2022-08-27,2411,Barclays Premier League,Chelsea,Leicester City,83.97,68.04,0.6671,0.137,0.1959,2.08,0.82,59.6,23.3,2.0,1.0,1.68,2.22,0.66,1.89,2.1,0.84
3285,2022,2022-08-27,2411,Barclays Premier League,Brighton and Hove Albion,Leeds United,75.7,64.77,0.5646,0.2017,0.2337,1.75,0.94,39.2,21.3,1.0,0.0,1.71,1.2,1.43,0.72,1.05,0.0
3286,2022,2022-08-27,2411,Barclays Premier League,Brentford,Everton,68.85,63.29,0.4908,0.2652,0.244,1.64,1.14,22.1,36.4,1.0,1.0,2.37,1.68,2.01,1.31,1.05,1.05
3290,2022,2022-08-27,2411,Barclays Premier League,Liverpool,AFC Bournemouth,88.83,57.47,0.8292,0.0477,0.1231,2.59,0.47,59.7,40.8,9.0,0.0,4.47,0.25,2.85,0.61,8.82,0.0
3297,2022,2022-08-27,2411,Barclays Premier League,Manchester City,Crystal Palace,92.0,72.54,0.7715,0.0789,0.1496,2.46,0.65,78.4,36.0,4.0,2.0,2.29,0.08,2.87,0.13,3.92,2.1
3328,2022,2022-08-27,1843,French Ligue 1,Auxerre,Strasbourg,51.23,65.89,0.3181,0.4189,0.263,1.24,1.46,43.0,24.0,1.0,0.0,0.7,1.56,0.54,2.33,1.05,0.0
3333,2022,2022-08-27,1869,Spanish Primera Division,Elche,Real Sociedad,57.82,74.41,0.2692,0.454,0.2768,1.08,1.48,38.4,41.7,0.0,1.0,0.89,1.74,0.58,1.03,0.0,1.05
3341,2022,2022-08-27,1854,Italy Serie A,Juventus,AS Roma,70.03,73.6,0.3711,0.3461,0.2828,1.25,1.2,54.2,61.3,1.0,1.0,0.55,1.08,0.59,0.58,1.05,1.05
3342,2022,2022-08-27,1854,Italy Serie A,Cremonese,Torino,49.0,63.57,0.2917,0.4209,0.2874,1.04,1.3,40.0,26.7,1.0,2.0,0.92,2.53,1.67,1.68,1.05,2.1
3343,2022,2022-08-27,2411,Barclays Premier League,Arsenal,Fulham,80.82,61.59,0.6924,0.1164,0.1912,2.07,0.71,60.5,29.2,2.0,1.0,2.32,0.84,2.42,0.95,2.1,1.05
3344,2022,2022-08-27,1845,German Bundesliga,Bayern Munich,Borussia Monchengladbach,92.96,70.26,0.7973,0.0741,0.1285,3.03,0.86,59.0,53.2,1.0,1.0,3.84,0.57,5.06,0.26,1.05,1.05
3360,2022,2022-08-27,1869,Spanish Primera Division,Rayo Vallecano,Mallorca,65.47,57.37,0.5022,0.2222,0.2757,1.52,0.92,22.3,38.2,0.0,2.0,0.87,0.75,1.65,0.47,0.0,2.1
3371,2022,2022-08-27,1854,Italy Serie A,Spezia,Sassuolo,48.11,59.96,0.3137,0.4335,0.2527,1.33,1.6,36.0,19.0,2.0,2.0,1.23,3.39,1.13,3.06,2.1,2.1
3373,2022,2022-08-27,1854,Italy Serie A,AC Milan,Bologna,78.65,56.08,0.6987,0.1028,0.1984,2.04,0.63,59.4,23.1,2.0,0.0,2.99,0.57,1.99,0.82,2.1,0.0
3375,2022,2022-08-27,1843,French Ligue 1,Lens,Stade Rennes,67.52,69.84,0.4221,0.324,0.2539,1.54,1.32,50.6,51.8,2.0,1.0,1.13,0.94,0.75,1.04,2.1,1.05
3381,2022,2022-08-27,1869,Spanish Primera Division,Almeria,Sevilla FC,60.25,71.35,0.3364,0.3741,0.2895,1.19,1.28,34.5,25.4,2.0,1.0,2.19,1.48,0.52,1.51,2.1,1.05
3415,2022,2022-08-28,1843,French Ligue 1,Nantes,Toulouse,58.87,54.69,0.4881,0.2605,0.2514,1.64,1.13,32.8,37.3,3.0,1.0,2.1,0.57,1.57,0.88,3.15,1.05
3427,2022,2022-08-28,1843,French Ligue 1,Brest,Montpellier,56.55,52.55,0.4836,0.2719,0.2446,1.71,1.22,31.8,42.2,0.0,7.0,0.26,2.08,0.72,1.15,0.0,6.65
3428,2022,2022-08-28,2411,Barclays Premier League,Wolverhampton,Newcastle,68.06,71.11,0.3969,0.3303,0.2728,1.28,1.14,29.0,21.7,1.0,1.0,1.11,2.08,0.85,2.36,1.05,1.05
3430,2022,2022-08-28,1843,French Ligue 1,Troyes,Angers,51.49,55.25,0.415,0.3083,0.2767,1.35,1.12,46.5,40.2,3.0,1.0,2.36,0.87,1.7,1.18,2.49,1.05
3432,2022,2022-08-28,1843,French Ligue 1,Nice,Marseille,64.13,68.22,0.3706,0.3562,0.2732,1.29,1.26,20.5,52.9,0.0,3.0,0.74,1.51,1.02,1.26,0.0,3.15
3433,2022,2022-08-28,1843,French Ligue 1,Lorient,Clermont Foot,54.62,51.71,0.4719,0.2587,0.2693,1.47,1.01,36.6,36.1,2.0,1.0,2.68,0.49,1.95,1.49,2.1,1.05
3434,2022,2022-08-28,2411,Barclays Premier League,Aston Villa,West Ham United,71.63,68.56,0.4656,0.2832,0.2512,1.55,1.15,20.4,28.4,0.0,1.0,0.37,0.38,0.71,0.88,0.0,1.05
3436,2022,2022-08-28,1845,German Bundesliga,FC Cologne,VfB Stuttgart,70.09,65.46,0.5122,0.2293,0.2585,1.65,1.02,42.0,24.0,0.0,0.0,0.45,2.07,1.15,1.09,0.0,0.0
3448,2022,2022-08-28,1843,French Ligue 1,Reims,Lyon,57.42,72.08,0.2811,0.4764,0.2426,1.27,1.72,34.7,51.8,1.0,1.0,0.62,1.81,0.58,2.62,1.05,0.84
3449,2022,2022-08-28,1869,Spanish Primera Division,Getafe,Villarreal,63.33,78.84,0.2414,0.487,0.2716,1.01,1.55,32.7,56.8,0.0,0.0,0.27,1.36,0.33,1.01,0.0,0.0
3451,2022,2022-08-28,2411,Barclays Premier League,Nottingham Forest,Tottenham Hotspur,56.48,81.93,0.1604,0.6326,0.207,0.89,2.0,41.7,59.0,0.0,2.0,0.88,2.52,1.62,1.18,0.0,1.82
3454,2022,2022-08-28,1845,German Bundesliga,Werder Bremen,Eintracht Frankfurt,63.1,66.79,0.3981,0.315,0.2869,1.31,1.13,22.6,24.3,3.0,4.0,1.82,1.9,1.22,1.04,3.15,4.2
3466,2022,2022-08-28,1854,Italy Serie A,Salernitana,Sampdoria,46.79,53.37,0.3631,0.3513,0.2856,1.22,1.19,44.4,35.8,4.0,0.0,1.62,1.62,1.05,1.62,4.05,0.0
3467,2022,2022-08-28,1854,Italy Serie A,Verona,Atalanta,60.52,72.63,0.2726,0.4806,0.2468,1.23,1.71,21.9,57.1,0.0,1.0,0.48,0.71,0.95,1.35,0.0,1.05
3473,2022,2022-08-28,1869,Spanish Primera Division,Barcelona,Real Valladolid,85.27,58.7,0.7758,0.0669,0.1572,2.44,0.57,57.0,32.3,4.0,0.0,3.06,0.85,3.55,0.65,3.68,0.0
3478,2022,2022-08-28,1854,Italy Serie A,Fiorentina,Napoli,67.55,77.69,0.297,0.4472,0.2558,1.25,1.59,45.3,59.3,0.0,0.0,0.4,1.75,0.72,1.22,0.0,0.0
3480,2022,2022-08-28,1854,Italy Serie A,Lecce,Empoli,50.68,49.88,0.416,0.2996,0.2844,1.32,1.07,43.2,41.8,1.0,1.0,0.88,0.39,0.83,0.39,1.05,1.05
3485,2022,2022-08-28,1843,French Ligue 1,Paris Saint-Germain,AS Monaco,90.43,71.37,0.7434,0.1074,0.1493,2.81,1.01,52.8,50.0,1.0,1.0,3.35,0.27,1.78,0.76,1.05,1.05
3493,2022,2022-08-28,1869,Spanish Primera Division,Espanyol,Real Madrid,59.5,86.66,0.1316,0.682,0.1864,0.97,2.42,34.1,71.8,1.0,3.0,1.71,2.0,1.25,1.92,1.05,2.52
3512,2022,2022-08-29,1869,Spanish Primera Division,Cadiz,Athletic Bilbao,59.9,71.92,0.3208,0.3865,0.2926,1.14,1.28,39.1,34.9,0.0,4.0,0.27,2.96,0.38,1.61,0.0,3.47
3518,2022,2022-08-29,1869,Spanish Primera Division,Valencia,Atletico Madrid,69.23,80.34,0.2858,0.4302,0.2841,1.09,1.4,34.9,60.8,0.0,1.0,0.72,2.24,1.09,0.87,0.0,1.05
3522,2022,2022-08-30,1854,Italy Serie A,Sassuolo,AC Milan,60.84,79.08,0.2189,0.553,0.2282,1.14,1.94,24.3,55.4,0.0,0.0,1.06,0.62,0.47,1.24,0.0,0.0
3523,2022,2022-08-30,2411,Barclays Premier League,Crystal Palace,Brentford,72.21,68.71,0.4699,0.2805,0.2496,1.57,1.15,22.5,17.9,1.0,1.0,0.67,1.74,0.72,1.61,1.05,1.05
3524,2022,2022-08-30,2411,Barclays Premier League,Fulham,Brighton and Hove Albion,61.65,75.83,0.2772,0.4575,0.2654,1.04,1.42,33.4,44.1,2.0,1.0,0.87,1.74,0.71,0.94,2.1,1.05
3526,2022,2022-08-30,1854,Italy Serie A,Internazionale,Cremonese,82.0,48.23,0.8022,0.0612,0.1367,2.63,0.59,59.9,40.3,3.0,1.0,2.69,1.52,1.75,1.45,3.02,1.05
3532,2022,2022-08-30,1854,Italy Serie A,AS Roma,Monza,73.91,49.39,0.6879,0.1018,0.2103,1.92,0.58,59.1,36.8,3.0,0.0,2.69,0.8,1.54,1.67,3.15,0.0
3537,2022,2022-08-30,2411,Barclays Premier League,Southampton,Chelsea,62.31,82.74,0.2014,0.5805,0.2181,1.04,1.93,34.4,61.0,2.0,1.0,1.44,1.46,0.92,1.33,2.1,1.05
3545,2022,2022-08-30,2411,Barclays Premier League,Leeds United,Everton,64.87,63.27,0.4495,0.3009,0.2496,1.54,1.22,25.3,35.4,1.0,1.0,1.23,0.82,1.43,0.43,1.05,1.05
3549,2022,2022-08-31,1854,Italy Serie A,Empoli,Verona,49.95,60.35,0.3363,0.3947,0.269,1.27,1.39,40.5,18.3,1.0,1.0,0.78,0.59,1.75,1.34,1.05,1.05
3550,2022,2022-08-31,1854,Italy Serie A,Sampdoria,Lazio,51.71,69.66,0.233,0.5175,0.2494,1.06,1.7,35.6,52.1,1.0,1.0,1.01,1.62,1.16,1.61,1.05,1.05
3551,2022,2022-08-31,1854,Italy Serie A,Udinese,Fiorentina,58.69,67.14,0.3242,0.4097,0.2661,1.26,1.44,17.7,36.8,1.0,0.0,0.8,0.55,1.04,1.31,1.05,0.0
3553,2022,2022-08-31,1843,French Ligue 1,Angers,Reims,53.99,56.77,0.4184,0.3062,0.2754,1.36,1.12,45.2,42.1,2.0,4.0,1.46,2.26,0.62,0.57,1.89,3.69
3555,2022,2022-08-31,1843,French Ligue 1,Montpellier,AC Ajaccio,56.29,51.91,0.4949,0.251,0.2541,1.61,1.08,36.6,43.3,2.0,0.0,1.39,1.0,0.73,1.89,1.92,0.0
3556,2022,2022-08-31,1843,French Ligue 1,Strasbourg,Nantes,66.41,59.87,0.5156,0.2337,0.2508,1.65,1.03,22.0,22.8,1.0,1.0,0.27,0.65,1.11,0.94,1.05,1.05
3557,2022,2022-08-31,1843,French Ligue 1,Lyon,Auxerre,72.73,50.82,0.7027,0.1144,0.1829,2.26,0.79,52.0,36.2,2.0,1.0,3.14,0.48,1.81,0.78,2.07,1.05
3559,2022,2022-08-31,1843,French Ligue 1,AS Monaco,Troyes,71.51,52.55,0.6665,0.1368,0.1967,2.16,0.86,50.6,41.8,2.0,4.0,1.99,2.43,2.08,1.68,2.1,3.41
3560,2022,2022-08-31,2411,Barclays Premier League,AFC Bournemouth,Wolverhampton,54.75,66.89,0.316,0.4053,0.2786,1.07,1.26,44.3,35.8,0.0,0.0,0.37,1.63,0.95,2.23,0.0,0.0
3562,2022,2022-08-31,2411,Barclays Premier League,Manchester City,Nottingham Forest,92.1,56.56,0.8898,0.0256,0.0846,3.0,0.38,82.8,43.2,6.0,0.0,3.59,0.85,2.11,0.59,5.86,0.0
3563,2022,2022-08-31,2411,Barclays Premier League,Arsenal,Aston Villa,80.63,71.11,0.6006,0.1801,0.2193,1.89,0.92,62.5,18.9,2.0,1.0,2.93,0.27,2.37,0.39,2.1,1.05
3564,2022,2022-08-31,1854,Italy Serie A,Napoli,Lecce,78.16,50.91,0.7407,0.0783,0.1811,2.13,0.53,67.0,34.5,1.0,1.0,2.1,1.07,0.97,0.47,1.05,1.05
3565,2022,2022-08-31,1854,Italy Serie A,Juventus,Spezia,69.79,46.93,0.6571,0.1278,0.2151,1.94,0.72,42.3,36.3,2.0,0.0,1.65,0.17,1.22,0.57,1.58,0.0
3568,2022,2022-08-31,2411,Barclays Premier League,West Ham United,Tottenham Hotspur,69.66,81.93,0.2514,0.5108,0.2378,1.13,1.71,23.0,63.7,1.0,1.0,1.3,0.72,0.68,0.92,1.05,1.05
3571,2022,2022-08-31,1843,French Ligue 1,Toulouse,Paris Saint-Germain,53.61,90.35,0.0861,0.7802,0.1337,0.92,2.94,35.0,42.3,0.0,3.0,0.52,4.21,0.86,3.5,0.0,2.63
3572,2022,2022-08-31,2411,Barclays Premier League,Liverpool,Newcastle,90.03,72.1,0.7187,0.1121,0.1691,2.36,0.82,49.1,36.3,2.0,1.0,1.58,0.62,2.99,0.75,2.1,1.05
3574,2022,2022-08-31,1843,French Ligue 1,Marseille,Clermont Foot,69.78,50.68,0.6644,0.129,0.2066,2.01,0.75,53.4,36.0,1.0,0.0,3.13,0.2,2.02,0.5,1.05,0.0
3576,2022,2022-08-31,1843,French Ligue 1,Lille,Nice,68.67,62.51,0.5383,0.2099,0.2517,1.65,0.93,49.0,24.7,1.0,2.0,1.06,1.54,1.47,0.65,1.05,2.1
3577,2022,2022-08-31,1843,French Ligue 1,Stade Rennes,Brest,69.78,52.63,0.6313,0.1613,0.2074,2.09,0.95,34.2,38.4,3.0,1.0,1.57,0.29,1.92,0.37,2.63,1.05
3578,2022,2022-08-31,1843,French Ligue 1,Lens,Lorient,67.63,55.43,0.5976,0.1683,0.2341,1.79,0.83,47.0,26.1,5.0,2.0,2.8,1.32,2.67,1.11,4.67,2.1
3597,2022,2022-09-01,1854,Italy Serie A,Bologna,Salernitana,55.51,48.1,0.4889,0.2477,0.2635,1.55,1.03,34.1,37.6,1.0,1.0,2.03,1.43,0.84,1.9,1.05,1.05
3598,2022,2022-09-01,1854,Italy Serie A,Atalanta,Torino,72.97,64.04,0.5385,0.2052,0.2563,1.63,0.9,63.6,44.7,3.0,1.0,3.16,0.48,0.68,1.54,2.79,1.05
3599,2022,2022-09-01,2411,Barclays Premier League,Leicester City,Manchester United,69.54,74.09,0.3765,0.3826,0.241,1.5,1.51,26.5,36.8,0.0,1.0,0.67,0.98,0.68,1.21,0.0,1.05
3612,2022,2022-09-02,1845,German Bundesliga,Borussia Dortmund,TSG Hoffenheim,79.51,67.95,0.6074,0.1806,0.2119,2.16,1.1,68.2,49.9,1.0,0.0,2.49,0.43,1.43,0.67,1.05,0.0
3622,2022,2022-09-02,1869,Spanish Primera Division,Celta Vigo,Cadiz,68.41,57.04,0.5386,0.196,0.2654,1.61,0.86,21.5,39.8,3.0,0.0,1.3,0.35,1.0,1.01,3.03,0.0
3641,2022,2022-09-03,2411,Barclays Premier League,Everton,Liverpool,63.25,89.99,0.1312,0.6942,0.1746,0.93,2.37,36.7,44.5,0.0,0.0,1.38,1.58,0.99,2.27,0.0,0.0
3650,2022,2022-09-03,1869,Spanish Primera Division,Mallorca,Girona FC,58.5,59.3,0.432,0.2807,0.2873,1.38,1.06,37.7,36.1,1.0,1.0,1.2,1.19,1.12,0.93,1.05,1.05
3654,2022,2022-09-03,1854,Italy Serie A,Fiorentina,Juventus,66.76,70.14,0.3641,0.3469,0.2889,1.2,1.16,35.0,50.0,1.0,1.0,1.97,0.85,1.79,0.43,1.05,1.05
3656,2022,2022-09-03,1845,German Bundesliga,VfL Bochum,Werder Bremen,56.87,62.25,0.4101,0.3174,0.2725,1.44,1.23,45.7,28.3,0.0,2.0,1.32,2.09,1.8,1.42,0.0,1.58
3657,2022,2022-09-03,1845,German Bundesliga,Bayer Leverkusen,SC Freiburg,76.36,70.47,0.515,0.2405,0.2445,1.8,1.16,53.1,57.8,2.0,3.0,1.84,1.9,1.32,0.81,2.1,3.15
3658,2022,2022-09-03,1845,German Bundesliga,1. FC Union Berlin,Bayern Munich,71.44,93.17,0.1556,0.6475,0.1969,1.05,2.32,59.3,56.7,1.0,1.0,0.39,1.61,0.57,3.08,1.05,1.05
3659,2022,2022-09-03,1845,German Bundesliga,VfL Wolfsburg,FC Cologne,67.28,69.03,0.4118,0.3091,0.2791,1.39,1.17,24.5,35.6,2.0,4.0,1.17,3.12,1.64,1.75,2.1,3.93
3660,2022,2022-09-03,1845,German Bundesliga,VfB Stuttgart,Schalke 04,66.87,57.41,0.5237,0.2136,0.2628,1.61,0.93,24.7,41.5,1.0,1.0,0.72,2.27,1.24,1.75,1.05,1.05
3666,2022,2022-09-03,2411,Barclays Premier League,Nottingham Forest,AFC Bournemouth,56.03,53.98,0.451,0.27,0.279,1.31,0.95,48.5,47.1,2.0,3.0,1.43,0.91,1.07,1.11,2.1,3.15
3667,2022,2022-09-03,2411,Barclays Premier League,Wolverhampton,Southampton,67.98,63.48,0.4699,0.2715,0.2586,1.48,1.06,33.4,28.8,1.0,0.0,1.03,1.27,0.77,1.74,1.05,0.0
3668,2022,2022-09-03,2411,Barclays Premier League,Brentford,Leeds United,69.93,65.21,0.4907,0.2698,0.2395,1.68,1.19,18.9,20.9,5.0,2.0,2.68,1.66,0.87,2.03,4.48,2.1
3669,2022,2022-09-03,2411,Barclays Premier League,Tottenham Hotspur,Fulham,81.56,62.08,0.7058,0.1113,0.1829,2.16,0.72,65.4,26.7,2.0,1.0,3.55,0.41,2.47,0.42,1.99,1.05
3670,2022,2022-09-03,2411,Barclays Premier League,Newcastle,Crystal Palace,72.21,71.2,0.4491,0.2884,0.2626,1.43,1.09,24.1,21.8,0.0,0.0,3.09,0.97,2.57,0.98,0.0,0.0
3694,2022,2022-09-03,2411,Barclays Premier League,Chelsea,West Ham United,81.87,70.37,0.6172,0.1607,0.222,1.83,0.81,55.1,19.5,2.0,1.0,1.0,1.09,0.77,0.38,2.1,1.05
3705,2022,2022-09-03,1869,Spanish Primera Division,Real Madrid,Real Betis,86.17,71.87,0.6689,0.1359,0.1952,2.31,0.94,68.5,52.7,2.0,1.0,2.95,0.33,3.02,0.68,2.1,1.05
3714,2022,2022-09-03,1843,French Ligue 1,Auxerre,Marseille,50.72,70.54,0.2422,0.5062,0.2516,1.06,1.64,39.6,54.5,0.0,2.0,0.75,1.7,0.44,1.54,0.0,1.75
3720,2022,2022-09-03,1854,Italy Serie A,AC Milan,Internazionale,78.9,81.0,0.3805,0.3597,0.2598,1.44,1.4,68.5,84.7,3.0,2.0,1.66,2.06,1.45,1.11,3.15,2.1
3728,2022,2022-09-03,1869,Spanish Primera Division,Real Sociedad,Atletico Madrid,75.11,80.91,0.3592,0.3522,0.2886,1.25,1.24,60.9,67.1,1.0,1.0,1.68,2.31,1.49,1.52,1.05,1.05
3729,2022,2022-09-03,1845,German Bundesliga,Eintracht Frankfurt,RB Leipzig,66.93,80.59,0.268,0.4772,0.2549,1.2,1.68,33.0,63.8,4.0,0.0,3.3,0.25,1.43,0.8,3.85,0.0
3730,2022,2022-09-03,2411,Barclays Premier League,Aston Villa,Manchester City,70.15,92.24,0.1268,0.7024,0.1708,0.93,2.41,21.4,68.2,1.0,1.0,0.24,2.17,0.37,1.99,1.05,1.05
3732,2022,2022-09-03,1843,French Ligue 1,Lyon,Angers,72.82,52.58,0.6836,0.1253,0.1911,2.19,0.82,58.6,46.8,5.0,0.0,1.5,0.73,1.07,0.66,4.79,0.0
3742,2022,2022-09-03,1854,Italy Serie A,Lazio,Napoli,69.42,77.16,0.3338,0.4112,0.255,1.37,1.54,62.8,66.1,1.0,2.0,0.35,2.16,0.68,1.8,1.05,2.1
3747,2022,2022-09-03,1843,French Ligue 1,Nantes,Paris Saint-Germain,60.68,90.85,0.1092,0.7342,0.1566,0.95,2.67,20.7,43.3,0.0,3.0,0.37,3.27,0.85,5.56,0.0,2.73
3748,2022,2022-09-03,1869,Spanish Primera Division,Sevilla FC,Barcelona,70.83,85.82,0.232,0.5145,0.2534,1.08,1.73,28.4,56.7,0.0,3.0,1.14,4.82,1.55,1.76,0.0,3.15
3776,2022,2022-09-04,1854,Italy Serie A,Cremonese,Sassuolo,49.43,61.3,0.3183,0.4304,0.2512,1.35,1.61,40.4,20.8,0.0,0.0,0.5,1.64,1.37,1.93,0.0,0.0
3778,2022,2022-09-04,1843,French Ligue 1,Montpellier,Lille,56.17,67.59,0.3308,0.4156,0.2535,1.35,1.54,26.0,30.4,1.0,3.0,0.39,1.28,0.17,2.7,1.05,2.31
3783,2022,2022-09-04,1869,Spanish Primera Division,Osasuna,Rayo Vallecano,66.46,64.57,0.455,0.2525,0.2925,1.37,0.94,21.3,20.9,2.0,1.0,3.04,0.16,1.45,0.44,2.1,1.05
3796,2022,2022-09-04,1843,French Ligue 1,Reims,Lens,57.93,68.14,0.3207,0.422,0.2572,1.29,1.51,28.5,52.7,1.0,1.0,1.7,2.07,1.74,1.85,0.84,1.05
3797,2022,2022-09-04,1843,French Ligue 1,Brest,Strasbourg,52.22,65.78,0.3335,0.4055,0.261,1.29,1.45,41.7,22.1,1.0,1.0,0.66,2.57,0.8,1.29,1.05,1.05
3798,2022,2022-09-04,1854,Italy Serie A,Spezia,Bologna,46.79,54.65,0.3492,0.3742,0.2767,1.24,1.3,42.9,34.5,2.0,2.0,1.2,0.77,1.33,0.83,2.1,2.1
3799,2022,2022-09-04,2411,Barclays Premier League,Brighton and Hove Albion,Leicester City,75.43,69.07,0.508,0.2404,0.2516,1.57,1.0,38.7,27.6,5.0,2.0,2.75,1.16,2.06,0.61,4.7,2.1
3800,2022,2022-09-04,1843,French Ligue 1,Clermont Foot,Toulouse,49.95,52.57,0.4217,0.3145,0.2637,1.46,1.22,43.9,40.7,2.0,0.0,1.42,1.5,0.82,1.66,1.58,0.0
3801,2022,2022-09-04,1843,French Ligue 1,AC Ajaccio,Lorient,52.11,54.49,0.4268,0.3,0.2731,1.39,1.12,43.5,32.6,0.0,1.0,0.65,0.61,1.72,0.47,0.0,1.05
3802,2022,2022-09-04,1845,German Bundesliga,FC Augsburg,Hertha Berlin,57.91,58.28,0.4422,0.2716,0.2862,1.38,1.02,44.2,41.8,0.0,2.0,0.23,2.55,0.86,1.53,0.0,1.58
3809,2022,2022-09-04,1869,Spanish Primera Division,Athletic Bilbao,Espanyol,74.37,60.18,0.5985,0.1521,0.2494,1.73,0.73,45.0,33.7,0.0,1.0,1.42,0.96,1.71,1.18,0.0,1.05
3817,2022,2022-09-04,1843,French Ligue 1,Troyes,Stade Rennes,54.63,70.22,0.2924,0.4593,0.2483,1.27,1.65,36.8,35.7,1.0,1.0,0.58,2.33,0.57,3.35,1.05,0.84
3818,2022,2022-09-04,2411,Barclays Premier League,Manchester United,Arsenal,74.96,81.4,0.3463,0.4107,0.243,1.41,1.55,48.7,60.8,3.0,1.0,2.06,1.59,1.01,1.82,3.02,1.05
3823,2022,2022-09-04,1845,German Bundesliga,Borussia Monchengladbach,Mainz,69.79,69.69,0.4653,0.2741,0.2606,1.61,1.18,49.1,41.7,0.0,1.0,1.69,0.66,1.44,1.05,0.0,0.84
3832,2022,2022-09-04,1854,Italy Serie A,Verona,Sampdoria,60.08,52.02,0.4928,0.2424,0.2647,1.54,1.0,24.1,36.2,2.0,1.0,1.99,0.97,1.27,1.31,2.1,1.05
3837,2022,2022-09-04,1869,Spanish Primera Division,Villarreal,Elche,79.39,57.35,0.7059,0.097,0.1971,2.11,0.63,58.0,40.9,4.0,0.0,4.4,0.3,1.04,0.47,3.2,0.0
3847,2022,2022-09-04,1854,Italy Serie A,Udinese,AS Roma,59.32,73.96,0.2508,0.4882,0.261,1.05,1.57,25.4,56.5,4.0,0.0,1.19,1.07,0.97,1.57,3.78,0.0
3848,2022,2022-09-04,1843,French Ligue 1,Nice,AS Monaco,63.6,69.33,0.3675,0.3786,0.2539,1.44,1.46,18.7,36.1,0.0,1.0,1.05,1.14,1.55,1.24,0.0,1.05
3852,2022,2022-09-04,1869,Spanish Primera Division,Valencia,Getafe,68.7,63.2,0.4846,0.2108,0.3046,1.31,0.76,20.8,31.1,5.0,1.0,2.48,0.56,1.58,0.71,5.25,1.05
3870,2022,2022-09-05,1854,Italy Serie A,Monza,Atalanta,49.16,73.35,0.1832,0.5866,0.2302,0.95,1.88,38.9,58.2,0.0,2.0,1.03,1.95,1.06,2.0,0.0,2.1
3871,2022,2022-09-05,1854,Italy Serie A,Salernitana,Empoli,48.9,50.34,0.408,0.3182,0.2739,1.38,1.19,38.9,37.7,2.0,2.0,1.81,0.99,0.97,0.71,2.1,2.1
3880,2022,2022-09-05,1854,Italy Serie A,Torino,Lecce,63.54,52.16,0.52,0.201,0.279,1.44,0.78,25.3,33.5,1.0,0.0,0.99,0.63,1.42,0.82,1.05,0.0
