,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
600,3905439,2022-08-13 13:30:00,Urs Schnyder,xGOT_for,1.61,H,10190,St. Gallen,4 - 3 - 3
625,3905444,2022-08-28 09:30:00,Fedayi San,xG_for,2.27,H,10243,FC Zürich,3 - 1 - 4 - 2
626,3905444,2022-08-28 09:30:00,Fedayi San,xGOT_for,1.76,H,10243,FC Zürich,3 - 1 - 4 - 2
651,3905447,2022-08-27 13:30:00,Sven Wolfensberger,xG_for,2.96,H,9777,Servette,4 - 3 - 3
652,3905447,2022-08-27 13:30:00,Sven Wolfensberger,xGOT_for,2.63,H,9777,Servette,4 - 3 - 3
677,3905446,2022-08-28 07:15:00,Stefan Horisberger,xG_for,1.91,H,7896,Lugano,4 - 3 - 3
678,3905446,2022-08-28 07:15:00,Stefan Horisberger,xGOT_for,2.96,H,7896,Lugano,4 - 3 - 3
703,3905440,2022-08-14 09:30:00,Alessandro Dudic,xG_for,1.59,H,9931,Basel,4 - 2 - 3 - 1
704,3905440,2022-08-14 09:30:00,Alessandro Dudic,xGOT_for,1.11,H,9931,Basel,4 - 2 - 3 - 1
729,3905443,2022-09-03 11:00:00,Lukas Fähndrich,xG_for,1.96,H,10179,Sion,4 - 3 - 3
730,3905443,2022-09-03 11:00:00,Lukas Fähndrich,xGOT_for,1.86,H,10179,Sion,4 - 3 - 3
755,3905442,2022-09-03 13:30:00,Alessandro Dudic,xG_for,1.4,H,10243,FC Zürich,3 - 1 - 4 - 2
756,3905442,2022-09-03 13:30:00,Alessandro Dudic,xGOT_for,0.93,H,10243,FC Zürich,3 - 1 - 4 - 2
781,3905445,2022-08-28 09:30:00,Anojen Kanagasingam,xG_for,0.98,H,7894,Winterthur,3 - 1 - 4 - 2
782,3905445,2022-08-28 09:30:00,Anojen Kanagasingam,xGOT_for,1.03,H,7894,Winterthur,3 - 1 - 4 - 2
807,3905428,2022-09-04 09:30:00,Nico Gianforte,xG_for,0.6,H,9956,Grasshopper,4 - 5 - 1
