,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
46,3916426,2022-08-06 09:00:00,Andy Woolmer,xG_for,0.46,H,9795,Swindon Town,3 - 5 - 2
47,3916426,2022-08-06 09:00:00,Andy Woolmer,xG_ag,0.78,H,9795,Swindon Town,3 - 5 - 2
48,3916425,2022-08-13 09:00:00,Oliver Yates,xG_for,1.36,H,158319,AFC Wimbledon,3 - 5 - 2
49,3916425,2022-08-13 09:00:00,Oliver Yates,xG_ag,0.52,H,158319,AFC Wimbledon,3 - 5 - 2
50,3916401,2022-08-13 09:00:00,Leigh Doughty,xG_for,0.58,H,8351,Leyton Orient,4 - 3 - 3
51,3916401,2022-08-13 09:00:00,Leigh Doughty,xG_ag,1.86,H,8351,Leyton Orient,4 - 3 - 3
52,3916403,2022-08-13 09:00:00,Thomas Kirk,xG_for,0.87,H,8493,Rochdale,3 - 4 - 3
53,3916403,2022-08-13 09:00:00,Thomas Kirk,xG_ag,0.32,H,8493,Rochdale,3 - 4 - 3
54,3916399,2022-08-13 09:00:00,Andrew Kitchen,xG_for,1.83,H,10196,Carlisle United,3 - 5 - 2
55,3916399,2022-08-13 09:00:00,Andrew Kitchen,xG_ag,1.04,H,10196,Carlisle United,3 - 5 - 2
56,3916400,2022-08-13 09:00:00,Tom Nield,xG_for,0.91,H,7946,Harrogate Town,3 - 4 - 1 - 2
57,3916400,2022-08-13 09:00:00,Tom Nield,xG_ag,0.46,H,7946,Harrogate Town,3 - 4 - 1 - 2
58,3916406,2022-08-13 09:00:00,Craig Hicks,xG_for,1.59,H,282326,Salford City,3 - 4 - 1 - 2
59,3916406,2022-08-13 09:00:00,Craig Hicks,xG_ag,0.36,H,282326,Salford City,3 - 4 - 1 - 2
60,3916402,2022-08-13 09:00:00,Sunny Sukhvir Gill,xG_for,2.21,H,8651,Northampton Town,4 - 1 - 4 - 1
61,3916402,2022-08-13 09:00:00,Sunny Sukhvir Gill,xG_ag,1.09,H,8651,Northampton Town,4 - 1 - 4 - 1
62,3916595,2022-08-13 09:00:00,Will Finnie,xG_for,0.84,H,8484,Bradford City,4 - 2 - 3 - 1
63,3916595,2022-08-13 09:00:00,Will Finnie,xG_ag,0.38,H,8484,Bradford City,4 - 2 - 3 - 1
