team_name,team_id,fotmob_id
Brentford,189,9937
Tottenham,30,8586
Fulham,170,9879
Crystal Palace,162,9826
Wolves,161,8602
Everton,31,8668
Leicester,14,8197
Newcastle,23,10261
Southampton,18,8466
Brighton,211,10204
Liverpool,26,8650
Aston Villa,24,10252
Arsenal,13,9825
West Ham,29,8654
Chelsea,15,8455
Bournemouth,183,8678
Nottingham Forest,174,10203
Man Utd,32,10260
Man City,167,8456
Leeds,19,8463
