,minutes,touches,role,playerId,teamId,playerName,xGOT,goals_conceded,match_id,date,teamName
862,90,,Keeper,796781,8558,Álvaro Fernández,2.47,2,3917984,2022-09-18 18:30:00,Espanyol
863,90,,Keeper,486981,8385,Jeremias Ledesma,0.73,0,3917989,2022-10-01 14:00:00,Cadiz
864,90,,Keeper,245555,10205,Geronimo Rulli,0.65,0,3917989,2022-10-01 14:00:00,Villarreal
865,90,,Keeper,660625,8315,Unai Simon,0.12,0,3917997,2022-09-30 21:00:00,Athletic Club
866,90,,Keeper,477589,9865,Fernando Martinez,1.99,4,3917997,2022-09-30 21:00:00,Almeria
867,90,,Keeper,361717,8603,Rui Silva,1.35,1,3917980,2022-09-18 18:30:00,Real Betis
868,90,,Keeper,246422,7732,Juan Carlos,1.90,2,3917980,2022-09-18 18:30:00,Girona
869,90,,Keeper,177126,9906,Jan Oblak,1.64,2,3917987,2022-09-18 21:00:00,Atletico Madrid
870,90,,Keeper,170323,8633,Thibaut Courtois,0.49,1,3917987,2022-09-18 21:00:00,Real Madrid
871,90,,Keeper,581919,8305,David Soria,1.96,3,3917988,2022-10-01 16:15:00,Getafe
872,90,,Keeper,213684,10281,Jordi Masip,2.01,2,3917988,2022-10-01 16:15:00,Real Valladolid
873,90,,Keeper,254241,8370,Stole Dimitrievski,0.91,1,3917995,2022-10-03 21:00:00,Rayo Vallecano
874,90,,Keeper,303353,10268,Edgar Badia,0.99,2,3917995,2022-10-03 21:00:00,Elche
875,90,,Keeper,435614,8661,Predrag Rajkovic,0.80,1,3917993,2022-10-01 21:00:00,Mallorca
876,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.51,0,3917993,2022-10-01 21:00:00,Barcelona
877,90,,Keeper,340020,8302,Yassine Bounou,1.50,2,3917992,2022-10-01 18:30:00,Sevilla
878,90,,Keeper,177126,9906,Jan Oblak,0.26,0,3917992,2022-10-01 18:30:00,Atletico Madrid
879,90,,Keeper,800882,8633,Andriy Lunin,0.53,1,3917996,2022-10-02 21:00:00,Real Madrid
880,90,,Keeper,683762,8371,Sergio Herrera,0.99,1,3917996,2022-10-02 21:00:00,Osasuna
881,90,,Keeper,246422,7732,Juan Carlos,3.10,5,3917991,2022-10-02 18:30:00,Girona
882,90,,Keeper,616539,8560,Alex Remiro,1.58,3,3917991,2022-10-02 18:30:00,Real Sociedad
883,90,,Keeper,477589,9865,Fernando Martinez,0.36,1,3918005,2022-10-08 14:00:00,Almeria
884,90,,Keeper,41466,8370,Diego Lopez,1.05,3,3918005,2022-10-08 14:00:00,Rayo Vallecano
885,90,,Keeper,683762,8371,Sergio Herrera,1.68,2,3918003,2022-10-07 21:00:00,Osasuna
886,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.22,1,3918003,2022-10-07 21:00:00,Valencia
887,90,,Keeper,177126,9906,Jan Oblak,0.53,1,3917998,2022-10-08 16:15:00,Atletico Madrid
888,90,,Keeper,246422,7732,Juan Carlos,3.23,2,3917998,2022-10-08 16:15:00,Girona
889,90,,Keeper,164020,9910,Agustin Marchesin,0.61,0,3917994,2022-10-02 16:15:00,Celta Vigo
890,90,,Keeper,361717,8603,Rui Silva,1.38,1,3917994,2022-10-02 16:15:00,Real Betis
891,90,,Keeper,796781,8558,Álvaro Fernández,2.14,2,3917990,2022-10-02 14:00:00,Espanyol
892,90,,Keeper,948800,10267,Giorgi Mamardashvili,1.35,2,3917990,2022-10-02 14:00:00,Valencia
893,90,,Keeper,280818,8302,Marko Dmitrovic,0.56,1,3918006,2022-10-08 18:30:00,Sevilla
894,90,,Keeper,660625,8315,Unai Simon,1.55,1,3918006,2022-10-08 18:30:00,Athletic Club
895,90,,Keeper,581919,8305,David Soria,0.80,1,3918001,2022-10-08 21:00:00,Getafe
896,90,,Keeper,800882,8633,Andriy Lunin,0.23,0,3918001,2022-10-08 21:00:00,Real Madrid
897,90,,Keeper,213684,10281,Jordi Masip,0.47,0,3918007,2022-10-09 14:00:00,Real Valladolid
898,90,,Keeper,361717,8603,Rui Silva,0.19,0,3918007,2022-10-09 14:00:00,Real Betis
899,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.53,0,3917999,2022-10-09 21:00:00,Barcelona
900,90,,Keeper,164020,9910,Agustin Marchesin,1.29,1,3917999,2022-10-09 21:00:00,Celta Vigo
901,90,,Keeper,486981,8385,Jeremias Ledesma,1.46,2,3918002,2022-10-09 16:15:00,Cadiz
902,90,,Keeper,210114,8558,Benjamin Lecomte,1.47,2,3918002,2022-10-09 16:15:00,Espanyol
903,90,,Keeper,616539,8560,Alex Remiro,0.24,0,3918004,2022-10-09 18:30:00,Real Sociedad
904,90,,Keeper,245555,10205,Geronimo Rulli,1.27,1,3918004,2022-10-09 18:30:00,Villarreal
905,90,,Keeper,303353,10268,Edgar Badia,2.52,1,3918000,2022-10-10 21:30:00,Elche
906,90,,Keeper,435614,8661,Predrag Rajkovic,0.59,1,3918000,2022-10-10 21:30:00,Mallorca
